1326,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
1330,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21630
1334,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
1346,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21630
1351,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21630
1357,TERCIARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
1382,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
1385,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
1388,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21630
1391,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
1398,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
1402,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
1403,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
1414,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21630
1422,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
1426,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21630
1428,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
1430,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21630
1436,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
1442,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21630
1444,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21630
1447,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
1454,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21630
1457,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21630
1459,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
1464,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21630
